cement,fine_agg,coarse_agg,age,strenght,water
350.0,775.0,974.0,14,22.53,203.0
385.0,763.0,966.0,14,27.92,186.0
302.0,817.0,974.0,14,18.13,203.0
525.0,613.0,1125.0,14,48.40,189.0
322.0,800.0,974.0,14,20.77,203.0
475.0,594.0,932.0,28,39.29,228.0
485.0,800.0,1120.0,28,71.99,146.0
376.0,762.4,1003.5,28,31.97,214.6
405.0,695.0,1120.0,28,52.30,175.0
436.0,719.7,838.4,28,23.85,218.0
393.0,785.6,940.6,28,39.60,192.0
480.0,712.2,936.2,28,43.94,192.0
255.0,945.0,889.8,28,18.75,192.0
333.0,842.6,931.2,28,31.97,192.0
289.0,895.3,913.2,28,25.57,192.0
397.0,734.3,1040.6,28,33.08,185.7
381.4,784.3,1104.6,28,22.49,185.7
295.8,769.3,1091.4,28,25.22,185.7
238.1,789.3,1118.8,28,17.58,185.7
339.2,754.3,1069.2,28,31.90,185.7
252.5,784.3,1111.6,28,19.77,185.7
382.5,739.3,1047.8,28,37.44,185.7
339.0,781.0,968.0,28,32.04,197.0
236.0,885.0,968.0,28,18.42,194.0
277.0,856.0,968.0,28,25.97,191.0
307.0,812.0,968.0,28,27.53,193.0
200.0,845.0,1125.0,28,12.25,180.0
225.0,833.0,1113.0,28,17.34,181.0
325.0,783.0,1063.0,28,30.57,184.0
275.0,808.0,1088.0,28,24.50,183.0
300.0,795.0,1075.0,28,26.85,184.0
375.0,758.0,1038.0,28,38.21,186.0
400.0,745.0,1025.0,28,43.70,187.0
250.0,820.0,1100.0,28,20.87,182.0
350.0,770.0,1050.0,28,34.29,186.0
310.0,830.0,1012.0,28,27.83,192.0
331.0,821.0,1025.0,28,31.74,192.0
349.0,809.0,1056.0,28,33.61,192.0
238.0,789.0,1119.0,28,17.54,186.0
296.0,769.0,1090.0,28,25.18,186.0
480.0,721.0,936.0,28,43.89,192.0
397.0,734.0,1040.0,28,36.94,186.0
281.0,774.0,1104.0,28,22.44,185.0
500.0,613.0,1125.0,28,44.09,200.0
540.0,613.0,1125.0,28,67.31,173.0
350.0,775.0,974.0,28,27.34,203.0
385.0,763.0,966.0,28,31.35,186.0
382.0,739.0,1047.0,28,37.42,186.0
281.0,774.0,1104.0,28,22.44,186.0
339.0,754.0,1069.0,28,31.84,185.0
295.0,769.0,1069.0,28,25.18,185.0
238.0,789.0,1118.0,28,17.54,185.0
296.0,765.0,1085.0,28,21.65,192.0
331.0,825.0,978.0,28,31.45,192.0
349.0,806.0,1047.0,28,32.72,192.0
252.0,784.0,1111.0,28,19.69,185.0
339.0,754.0,1060.0,28,31.65,185.0
393.0,758.0,940.0,28,39.58,192.0
382.0,739.0,1047.0,28,37.42,185.0
252.0,784.0,1111.0,28,19.69,185.0
310.0,850.0,970.0,28,27.92,192.0
525.0,613.0,1125.0,28,55.94,189.0
322.0,800.0,974.0,28,25.18,203.0
302.0,817.0,974.0,28,21.75,203.0
397.0,734.0,1040.0,28,39.09,185.0
522.0,896.0,896.0,28,74.99,146.0
462.5,721.5,1022.3,7,27.68,185.0
475.0,665.0,1054.5,7,24.66,190.0
475.0,698.3,1021.3,7,27.35,190.0
462.5,689.1,1031.4,7,24.75,185.0
462.5,721.5,1022.1,7,27.42,185.0
475.0,665.0,1054.5,7,23.15,190.0
475.0,698.3,1021.3,7,23.55,190.0
440.5,713.6,1057.1,7,18.04,185.0
440.5,740.0,1021.9,7,19.86,185.0
452.4,683.1,1054.1,7,24.33,190.0
452.4,764.6,1022.4,7,26.15,190.0
440.5,713.6,1057.1,7,19.90,185.0
440.5,740.0,1021.9,7,25.73,185.0
452.4,683.1,1054.1,7,26.02,190.0
452.4,764.6,1022.4,7,27.82,190.0
420.5,731.6,1055.3,7,17.55,185.0
420.5,765.2,1021.7,7,20.64,185.0
431.8,703.9,1058.0,7,23.77,190.0
431.8,742.7,1023.4,7,27.35,190.0
357.6,715.3,1072.9,28,26.67,214.6
314.3,628.6,1257.1,28,26.67,188.6
569.5,569.5,1138.9,7,26.52,170.8
314.3,628.6,1257.1,28,26.00,188.6
347.7,695.5,1391.0,7,25.40,104.3
538.2,538.2,1076.4,7,24.03,215.3
335.8,671.6,1343.3,7,23.33,134.3
396.8,595.2,1190.5,14,23.26,198.4
304.5,609.0,1218.1,28,23.19,213.2
304.5,609.0,1218.1,28,23.07,213.2
462.1,462.1,924.1,28,23.01,323.4
304.5,609.0,1218.1,28,22.96,213.2
462.1,462.1,924.1,28,22.81,323.4
304.5,609.0,1218.1,28,22.77,213.2
304.5,609.0,1218.1,28,22.75,213.2
335.8,671.6,1343.3,7,22.72,134.3
304.5,609.0,1218.1,28,22.49,213.2
304.5,609.0,1218.1,28,22.44,213.2
335.8,671.6,1343.3,7,22.44,134.3
304.5,609.0,1218.1,28,22.27,213.2
335.8,671.6,1343.3,7,22.27,134.3
549.3,1098.7,549.3,7,22.27,219.7
380.0,760.0,1056.4,7,16.11,190.0
380.0,790.4,1022.2,7,20.40,190.0
370.0,780.7,1054.5,7,14.08,185.0
370.0,821.4,1021.2,7,26.00,85.0
380.0,760.0,1056.4,7,15.71,190.0
380.0,790.4,1022.2,7,17.66,190.0
355.8,796.9,1056.6,7,15.08,185.0
355.8,825.4,1021.1,7,17.13,185.0
365.4,774.6,1055.9,7,17.82,190.0
365.4,807.5,1023.1,7,24.31,190.0
355.8,796.9,1056.6,7,13.84,185.0
355.8,825.4,1021.1,7,15.66,185.0
365.4,774.6,1055.9,7,16.91,190.0
365.4,807.5,1023.1,7,19.57,190.0
462.5,721.5,1022.3,14,32.71,185.0
475.0,665.0,1054.5,14,26.68,190.0
475.0,698.3,1021.3,14,28.68,190.0
462.5,689.1,1031.4,14,27.66,185.0
462.5,721.5,1022.1,14,34.95,185.0
475.0,665.0,1054.5,14,29.51,190.0
475.0,698.3,1021.3,14,32.40,190.0
440.5,713.6,1057.1,14,26.17,185.0
440.5,740.0,1021.9,14,28.91,185.0
452.4,683.1,1054.1,14,30.60,190.0
452.4,764.6,1022.4,14,32.62,190.0
440.5,713.6,1057.1,14,27.22,185.0
440.5,740.0,1021.9,14,30.51,185.0
452.4,683.1,1054.1,14,35.35,190.0
452.4,764.6,1022.4,14,37.60,190.0
420.5,731.6,1055.3,14,21.95,185.0
420.5,765.2,1021.7,14,22.46,185.0
431.8,703.9,1058.0,14,27.11,190.0
431.8,742.7,1023.4,14,31.71,190.0
420.5,731.6,1055.3,14,21.53,185.0
420.5,765.2,1021.7,14,28.42,185.0
431.8,703.9,1058.0,14,29.88,190.0
431.8,742.7,1023.4,14,36.48,190.0
402.2,752.1,1065.8,14,22.02,185.0
402.2,780.2,985.3,14,25.55,185.0
413.0,727.0,1057.4,14,25.82,190.0
413.0,760.0,1024.3,14,26.42,190.0
402.2,752.1,1065.8,14,24.24,185.0
402.2,780.2,985.3,14,26.42,185.0
413.0,727.0,1057.4,14,26.75,190.0
413.0,760.0,1024.3,14,29.13,190.0
385.4,767.0,1056.1,14,19.06,185.0
385.4,796.8,1021.4,14,24.75,185.0
395.8,744.2,1056.9,14,21.77,190.0
314.3,628.6,1257.1,7,12.89,188.6
314.3,628.6,1257.1,7,12.61,188.6
314.3,628.6,1257.1,7,12.59,188.6
314.3,628.6,1257.1,7,12.58,188.6
414.9,829.8,829.8,7,12.58,248.9
314.3,628.6,1257.1,7,12.50,188.6
314.3,628.6,1257.1,7,12.33,188.6
304.5,609.0,1218.1,7,11.33,213.2
304.5,609.0,1218.1,7,10.81,213.2
475.0,594.0,932.0,7,38.60,228.0
480.0,712.2,936.2,7,34.57,192.0
255.0,945.0,889.8,7,10.22,192.0
289.0,895.3,913.2,7,14.60,192.0
333.0,842.6,931.2,7,23.40,192.0
393.0,785.6,940.6,7,27.74,192.0
382.5,739.3,1047.8,7,24.07,185.7
295.8,769.3,1091.4,7,14.84,185.7
397.0,734.3,1040.6,7,25.45,185.7
339.2,754.3,1069.2,7,21.18,185.7
381.4,784.3,1104.6,7,14.54,185.7
238.1,789.3,1118.8,7,10.34,185.7
252.5,784.3,1111.6,7,11.48,185.7
339.0,781.0,968.0,7,20.97,197.0
475.0,698.3,1021.3,28,35.88,190.0
462.5,689.1,1031.4,28,29.77,185.0
462.5,721.5,1022.1,28,39.37,185.0
475.0,665.0,1054.5,28,31.48,190.0
475.0,698.3,1021.3,28,34.86,190.0
440.5,713.6,1057.1,28,24.64,185.0
440.5,740.0,1021.9,28,27.68,185.0
452.4,683.1,1054.1,28,30.66,190.0
452.4,764.6,1022.4,28,34.20,190.0
440.5,713.6,1057.1,28,27.82,185.0
440.5,740.0,1021.9,28,32.55,185.0
452.4,683.1,1054.1,28,37.40,190.0
452.4,764.6,1022.4,28,39.22,190.0
420.5,731.6,1055.3,28,24.77,185.0
420.5,765.2,1021.7,28,26.95,185.0
431.8,703.9,1058.0,28,34.68,190.0
431.8,742.7,1023.4,28,34.68,190.0
420.5,731.6,1055.3,28,25.97,185.0
420.5,765.2,1021.7,28,34.80,185.0
431.8,703.9,1058.0,28,31.35,190.0
431.8,742.7,1023.4,28,38.86,190.0
402.2,752.1,1065.8,28,23.84,185.0
314.3,628.6,1257.1,7,13.43,188.6
494.0,987.9,494.0,7,13.43,296.4
314.3,628.6,1257.1,7,13.33,188.6
314.3,628.6,1257.1,7,13.33,188.6
314.3,628.6,1257.1,7,13.29,188.6
314.3,628.6,1257.1,7,13.19,188.6
314.3,628.6,1257.1,7,13.03,188.6
314.3,628.6,1257.1,7,12.98,188.6
395.8,775.8,1021.2,14,22.73,190.0
385.4,767.0,1056.1,14,17.91,185.0
385.4,796.8,1021.4,14,29.77,185.0
395.8,744.2,1056.9,14,18.57,190.0
395.8,775.8,1021.2,14,23.88,190.0
370.0,780.7,1054.5,14,17.93,185.0
370.0,821.4,1021.2,14,21.82,185.0
380.0,760.0,1056.4,14,21.77,190.0
380.0,790.4,1022.2,14,22.73,190.0
370.0,780.7,1054.5,14,17.91,185.0
370.0,821.4,1021.2,14,29.77,85.0
380.0,760.0,1056.4,14,18.57,190.0
380.0,790.4,1022.2,14,23.88,190.0
380.0,760.0,1056.4,28,25.57,190.0
380.0,790.4,1022.2,28,28.57,190.0
355.8,796.9,1056.6,28,24.84,185.0
355.8,825.4,1021.1,28,28.00,185.0
365.4,774.6,1055.9,28,25.00,190.0
365.4,807.5,1023.1,28,28.90,190.0
355.8,796.9,1056.6,28,25.60,185.0
355.8,825.4,1021.1,28,29.30,185.0
365.4,774.6,1055.9,28,25.97,190.0
365.4,807.5,1023.1,28,29.77,190.0
